"Element CSS selector","Total # of clicks","Visible","% of total"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper (2)","10","Yes","0.76%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide","9","Yes","0.68%"
"div#ch-plugin-core>div.Launcherstyled__Wrapper-oef45p-0.dHpZot>div.Launcherstyled__TextLauncher-oef45p-1.lbMRR>div.Launcherstyled__TextLauncherIcon-oef45p-3.dDtaKl.textLauncherIcon","9","No","0.68%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-three.second","9","No","0.68%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.best-review-wrapper.m-hide>div.left-section>div.menu.pointer (4)","9","Yes","0.68%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.pointer.title","9","Yes","0.68%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.m-hide (2)","9","Yes","0.68%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.best-review-wrapper.m-hide>div.left-section>div.menu.pointer (3)","8","Yes","0.61%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper (2)","7","No","0.53%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide>div.pc-half-m-full (1)","7","Yes","0.53%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.fit-content-center>div.select-btn-wrapper>div.select-btn-three","6","Yes","0.46%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>img.max-full.center.m-hide (1)","6","No","0.46%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.title (6)","5","No","0.38%"
